k,n,n_wave
10,1,1
10,2,2
10,3,3
10,4,4
10,5,5
10,6,6
10,7,7
10,8,8
10,9,9
10,10,9
10,11,10
10,12,10
10,13,11
10,14,11
10,15,11
10,16,11
10,17,11
10,18,11
10,19,11
10,20,13
10,21,13
10,22,14
10,23,14
10,24,15
10,25,16
10,26,16
10,27,20
10,28,20
10,29,22
10,30,22
10,31,29
10,32,29
10,33,29
10,34,33
10,35,33
10,36,38
10,37,41
10,38,41
10,39,41
10,40,41
10,41,41
10,42,44
10,43,44
10,44,44
10,45,44
10,46,44
10,47,44
10,48,44
10,49,44
10,50,44
10,51,44
10,52,44
10,53,44
10,54,44
10,55,44
10,56,44
10,57,44
10,58,44
10,59,44
10,60,57
10,61,72
10,62,72
10,63,72
10,64,74
10,65,74
10,66,74
10,67,74
10,68,74
10,69,74
10,70,81
10,71,81
10,72,81
10,73,81
10,74,81
10,75,81
10,76,81
10,77,81
10,78,81
10,79,81
10,80,81
10,81,81
10,82,81
10,83,81
10,84,81
10,85,81
10,86,81
10,87,81
10,88,81
10,89,81
10,90,81
10,91,81
10,92,81
10,93,81
10,94,81
10,95,81
10,96,81
10,97,81
10,98,81
10,99,81
10,100,81
10,101,81
10,102,81
10,103,81
10,104,81
10,105,81
10,106,81
10,107,81
10,108,81
10,109,81
10,110,81
10,111,81
10,112,81
10,113,81
10,114,81
10,115,81
10,116,81
10,117,81
10,118,81
10,119,81
10,120,89
10,121,89
10,122,89
10,123,89
10,124,89
10,125,89
10,126,89
10,127,95
10,128,95
10,129,95
10,130,95
10,131,95
10,132,95
10,133,95
10,134,95
10,135,96
10,136,96
10,137,96
10,138,96
10,139,102
10,140,102
10,141,111
10,142,118
10,143,118
10,144,118
10,145,151
10,146,151
10,147,151
10,148,151
10,149,151
10,150,151
10,151,151
10,152,151
10,153,151
10,154,151
10,155,151
10,156,151
10,157,151
10,158,151
10,159,229
10,160,229
10,161,229
10,162,229
10,163,229
10,164,249
10,165,249
10,166,249
10,167,249
10,168,249
10,169,292
10,170,292
10,171,292
10,172,292
10,173,292
10,174,292
10,175,292
10,176,292
10,177,292
10,178,292
10,179,292
10,180,292
10,181,308
10,182,308
10,183,308
10,184,308
10,185,308
10,186,308
10,187,308
10,188,308
10,189,308
10,190,308
10,191,308
10,192,308
10,193,308
10,194,308
10,195,308
10,196,321
10,197,321
10,198,321
10,199,321
10,200,321
10,201,321
10,202,321
10,203,321
10,204,321
10,205,321
10,206,321
10,207,321
10,208,321
10,209,321
10,210,321
10,211,321
10,212,321
10,213,321
10,214,321
10,215,321
10,216,321
10,217,321
10,218,321
10,219,321
10,220,321
10,221,321
10,222,351
10,223,351
10,224,351
10,225,351
10,226,351
10,227,351
10,228,351
10,229,351
10,230,351
10,231,351
10,232,351
10,233,351
10,234,351
10,235,351
10,236,351
10,237,368
10,238,368
10,239,368
10,240,368
10,241,368
10,242,368
10,243,368
10,244,368
10,245,368
10,246,381
10,247,381
10,248,381
10,249,381
10,250,381
10,251,381
10,252,381
10,253,533
10,254,533
10,255,533
10,256,533
10,257,533
10,258,533
10,259,533
10,260,533
10,261,533
10,262,533
10,263,533
10,264,533
10,265,533
10,266,533
10,267,533
10,268,533
10,269,533
10,270,533
10,271,533
10,272,533
10,273,533
10,274,533
10,275,533
10,276,533
10,277,533
10,278,533
10,279,533
10,280,533
10,281,533
10,282,533
10,283,533
10,284,533
10,285,533
10,286,533
10,287,533
10,288,533
10,289,533
10,290,533
10,291,533
10,292,533
10,293,533
10,294,533
10,295,533
10,296,533
10,297,533
10,298,533
10,299,533
10,300,533
10,301,533
10,302,533
10,303,533
10,304,533
10,305,533
10,306,533
10,307,533
10,308,533
10,309,533
10,310,533
10,311,533
10,312,533
10,313,533
10,314,533
10,315,533
10,316,533
10,317,533
10,318,533
10,319,533
10,320,533
10,321,533
10,322,533
10,323,533
10,324,533
10,325,533
10,326,533
10,327,533
10,328,533
10,329,533
10,330,533
10,331,533
10,332,533
10,333,533
10,334,533
10,335,533
10,336,533
10,337,533
10,338,533
10,339,533
10,340,574
10,341,574
10,342,574
10,343,574
10,344,574
10,345,574
10,346,574
10,347,574
10,348,574
10,349,610
10,350,610
10,351,610
10,352,610
10,353,610
10,354,610
10,355,610
10,356,610
10,357,610
10,358,610
10,359,610
10,360,610
10,361,610
10,362,610
10,363,610
10,364,624
10,365,624
10,366,624
10,367,624
10,368,624
10,369,624
10,370,624
10,371,624
10,372,624
10,373,624
10,374,624
10,375,624
10,376,624
10,377,624
10,378,624
10,379,624
10,380,624
10,381,624
10,382,716
10,383,716
10,384,716
10,385,716
10,386,716
10,387,716
10,388,716
10,389,716
10,390,716
10,391,716
10,392,716
10,393,716
10,394,716
10,395,716
10,396,716
10,397,716
10,398,716
10,399,716
10,400,716
10,401,716
10,402,716
10,403,716
10,404,716
10,405,716
10,406,716
10,407,716
10,408,716
10,409,716
10,410,716
10,411,716
10,412,716
10,413,716
10,414,716
10,415,716
10,416,716
10,417,716
10,418,716
10,419,716
10,420,716
10,421,716
10,422,716
10,423,716
10,424,716
10,425,716
10,426,716
10,427,716
10,428,716
10,429,716
10,430,716
10,431,716
10,432,716
10,433,716
10,434,793
10,435,793
10,436,793
10,437,793
10,438,793
10,439,793
10,440,793
10,441,793
10,442,793
10,443,793
10,444,793
10,445,793
10,446,793
10,447,793
10,448,793
10,449,793
10,450,793
10,451,793
10,452,793
10,453,793
10,454,793
10,455,793
10,456,793
10,457,793
10,458,793
10,459,793
10,460,793
10,461,793
10,462,793
10,463,793
10,464,793
10,465,793
10,466,793
10,467,793
10,468,793
10,469,793
10,470,793
10,471,793
10,472,793
10,473,793
10,474,793
10,475,793
10,476,793
10,477,793
10,478,793
10,479,793
10,480,793
10,481,793
10,482,793
10,483,793
10,484,793
10,485,793
10,486,793
10,487,793
10,488,793
10,489,793
10,490,793
10,491,793
10,492,793
10,493,793
10,494,793
10,495,793
10,496,793
10,497,793
10,498,793
10,499,793
10,500,793
10,501,793
10,502,793
10,503,793
10,504,793
10,505,793
10,506,793
10,507,793
10,508,793
10,509,793
10,510,793
10,511,793
10,512,793
10,513,793
10,514,793
10,515,793
10,516,793
10,517,793
10,518,793
10,519,793
10,520,793
10,521,793
10,522,793
10,523,793
10,524,793
10,525,793
10,526,793
10,527,793
10,528,793
10,529,793
10,530,793
10,531,793
10,532,793
10,533,793
10,534,793
10,535,793
10,536,793
10,537,793
10,538,793
10,539,793
10,540,793
10,541,793
10,542,793
10,543,793
10,544,793
10,545,793
10,546,793
10,547,793
10,548,793
10,549,793
10,550,793
10,551,959
10,552,959
10,553,959
10,554,959
10,555,959
10,556,959
10,557,959
10,558,959
10,559,959
10,560,959
10,561,959
10,562,959
10,563,959
10,564,959
10,565,959
10,566,959
10,567,959
10,568,959
10,569,959
10,570,959
10,571,959
10,572,959
10,573,959
10,574,959
10,575,959
10,576,959
10,577,959
10,578,959
10,579,959
10,580,959
10,581,959
10,582,959
10,583,959
10,584,959
10,585,959
10,586,959
10,587,959
10,588,959
10,589,959
10,590,959
10,591,959
10,592,959
10,593,959
10,594,959
10,595,959
10,596,959
10,597,959
10,598,959
10,599,959
10,600,959
10,601,959
10,602,959
10,603,959
10,604,959
10,605,959
10,606,959
10,607,959
10,608,959
10,609,959
10,610,959
10,611,992
10,612,992
10,613,992
10,614,992
10,615,992
10,616,992
10,617,992
10,618,992
10,619,992
10,620,992
10,621,992
10,622,992
10,623,992
10,624,992
10,625,992
10,626,992
10,627,992
10,628,992
10,629,992
10,630,992
10,631,992
10,632,992
10,633,992
10,634,992
10,635,992
10,636,992
10,637,992
10,638,992
10,639,992
10,640,992
10,641,992
10,642,992
10,643,992
10,644,992
10,645,992
10,646,992
10,647,992
10,648,992
10,649,992
10,650,992
10,651,992
10,652,992
10,653,992
10,654,992
10,655,992
10,656,992
10,657,992
10,658,992
10,659,992
10,660,992
10,661,992
10,662,992
10,663,992
10,664,992
10,665,992
10,666,992
10,667,992
10,668,992
10,669,992
10,670,992
10,671,992
10,672,992
10,673,992
10,674,992
10,675,992
10,676,992
10,677,992
10,678,992
10,679,992
10,680,992
10,681,992
10,682,992
10,683,992
10,684,992
10,685,992
10,686,992
10,687,992
10,688,992
10,689,992
10,690,992
10,691,992
10,692,992
10,693,992
10,694,992
10,695,992
10,696,992
10,697,992
10,698,992
10,699,992
10,700,992
10,701,992
10,702,992
10,703,992
10,704,992
10,705,992
10,706,992
10,707,992
10,708,992
10,709,992
10,710,992
10,711,992
10,712,992
10,713,992
10,714,992
10,715,992
10,716,992
10,717,992
10,718,992
10,719,992
10,720,992
10,721,992
10,722,992
10,723,992
10,724,992
10,725,992
10,726,992
10,727,992
10,728,992
10,729,992
10,730,992
10,731,992
10,732,992
10,733,992
10,734,992
10,735,992
10,736,992
10,737,992
10,738,992
10,739,992
10,740,992
10,741,992
10,742,992
10,743,992
10,744,992
10,745,992
10,746,992
10,747,992
10,748,992
10,749,992
10,750,992
10,751,992
10,752,992
10,753,992
10,754,992
10,755,992
10,756,992
10,757,992
10,758,992
10,759,992
10,760,992
10,761,992
10,762,992
10,763,992
10,764,992
10,765,992
10,766,992
10,767,992
10,768,992
10,769,992
10,770,992
10,771,992
10,772,992
10,773,992
10,774,992
10,775,992
10,776,992
10,777,992
10,778,992
10,779,992
10,780,992
10,781,992
10,782,992
10,783,992
10,784,992
10,785,992
10,786,992
10,787,992
10,788,992
10,789,992
10,790,992
10,791,992
10,792,992
10,793,992
10,794,992
10,795,992
10,796,992
10,797,992
10,798,992
10,799,992
10,800,992
10,801,992
10,802,992
10,803,992
10,804,992
10,805,992
10,806,992
10,807,992
10,808,992
10,809,992
10,810,992
10,811,992
10,812,992
10,813,992
10,814,992
10,815,992
10,816,992
10,817,992
10,818,992
10,819,992
10,820,992
10,821,992
10,822,992
10,823,992
10,824,992
10,825,992
10,826,992
10,827,992
10,828,992
10,829,992
10,830,992
10,831,992
10,832,992
10,833,992
10,834,1171
10,835,1171
10,836,1171
10,837,1171
10,838,1171
10,839,1171
10,840,1171
10,841,1171
