k,n,n_wave
3,1,1
3,2,2
3,3,2
3,4,2
3,5,2
3,6,2
3,7,2
3,8,2
3,9,2
3,10,3
3,11,3
3,12,3
3,13,5
3,14,5
3,15,3
3,16,5
3,17,5
3,18,5
3,19,5
3,20,7
3,21,4
3,22,5
3,23,8
3,24,7
3,25,16
3,26,9
3,27,16
3,28,16
3,29,16
3,30,16
3,31,16
3,32,9
3,33,16
3,34,21
3,35,21
3,36,21
3,37,19
3,38,21
3,39,21
3,40,19
3,41,21
3,42,21
3,43,19
3,44,21
3,45,21
3,46,21
3,47,21
3,48,21
3,49,16
3,50,19
3,51,19
3,52,21
3,53,21
3,54,21
3,55,18
3,56,21
3,57,19
3,58,21
3,59,21
3,60,21
3,61,55
3,62,22
3,63,55
3,64,71
3,65,71
3,66,71
3,67,71
3,68,71
3,69,22
3,70,71
3,71,24
3,72,71
3,73,71
3,74,71
3,75,71
3,76,71
3,77,55
3,78,55
3,79,71
3,80,55
3,81,71
3,82,71
3,83,55
3,84,55
3,85,55
3,86,22
3,87,71
3,88,71
3,89,71
3,90,71
3,91,55
3,92,71
3,93,71
3,94,71
3,95,55
3,96,71
3,97,71
3,98,71
3,99,55
3,100,71
3,101,71
3,102,24
3,103,24
3,104,71
3,105,71
3,106,24
3,107,55
3,108,71
3,109,71
3,110,55
3,111,71
3,112,24
3,113,71
3,114,55
3,115,55
3,116,71
3,117,71
3,118,55
3,119,71
3,120,64
3,121,71
3,122,64
3,123,71
3,124,71
3,125,71
3,126,64
3,127,78
3,128,71
3,129,78
3,130,78
3,131,78
3,132,78
3,133,64
3,134,78
3,135,78
3,136,71
3,137,138
3,138,78
3,139,138
3,140,78
3,141,78
3,142,71
3,143,138
3,144,138
3,145,176
3,146,176
3,147,71
3,148,64
3,149,176
3,150,138
3,151,176
3,152,176
3,153,176
3,154,71
3,155,138
3,156,176
3,157,176
3,158,176
3,159,176
3,160,176
3,161,138
3,162,176
3,163,138
3,164,138
3,165,138
3,166,176
3,167,138
3,168,176
3,169,220
3,170,220
3,171,220
3,172,220
3,173,138
3,174,176
3,175,220
3,176,138
3,177,220
3,178,220
3,179,220
3,180,220
3,181,176
3,182,176
3,183,176
3,184,176
3,185,138
3,186,176
3,187,138
3,188,176
3,189,220
3,190,220
3,191,176
3,192,220
3,193,220
3,194,220
3,195,118
3,196,220
3,197,159
3,198,176
3,199,176
3,200,220
3,201,220
3,202,220
3,203,220
3,204,176
3,205,138
3,206,176
3,207,176
3,208,176
3,209,220
3,210,220
3,211,220
3,212,220
3,213,220
3,214,220
3,215,220
3,216,220
3,217,220
3,218,176
3,219,176
3,220,220
3,221,138
3,222,176
3,223,176
3,224,159
3,225,220
3,226,159
3,227,176
3,228,138
3,229,176
3,230,220
3,231,176
3,232,176
3,233,176
3,234,220
3,235,138
3,236,220
3,237,159
3,238,220
3,239,220
3,240,413
3,241,413
3,242,413
3,243,220
3,244,176
3,245,413
3,246,413
3,247,213
3,248,220
3,249,413
3,250,220
3,251,413
3,252,413
3,253,413
3,254,220
3,255,213
3,256,213
3,257,413
3,258,413
3,259,220
3,260,413
3,261,220
3,262,413
3,263,220
3,264,413
3,265,413
3,266,413
3,267,413
3,268,413
3,269,220
3,270,413
3,271,413
3,272,413
3,273,413
3,274,413
3,275,176
3,276,220
3,277,413
3,278,413
3,279,213
3,280,413
3,281,413
3,282,220
3,283,176
3,284,413
3,285,413
3,286,413
3,287,220
3,288,220
3,289,220
3,290,220
3,291,213
3,292,220
3,293,413
3,294,220
3,295,413
3,296,176
3,297,413
3,298,220
3,299,220
3,300,213
3,301,220
3,302,213
3,303,413
3,304,413
3,305,220
3,306,413
3,307,413
3,308,213
3,309,213
3,310,213
3,311,220
3,312,413
3,313,413
3,314,220
3,315,220
3,316,220
3,317,413
